"filename", "language", "Properties", "JSON", "HTML", "Java", "SQL", "comment", "blank", "total"
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\projections\user\UserUsername.java", "Java", 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\repositories\AccountLogRepository.java", "Java", 0, 0, 0, 11, 0, 0, 3, 14
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\repositories\AccountRepository.java", "Java", 0, 0, 0, 21, 0, 0, 4, 25
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\repositories\AddressRepository.java", "Java", 0, 0, 0, 6, 0, 0, 3, 9
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\repositories\LocationRepository.java", "Java", 0, 0, 0, 10, 0, 0, 3, 13
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\repositories\MakerRepository.java", "Java", 0, 0, 0, 24, 0, 0, 8, 32
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\repositories\MedialFileRepository.java", "Java", 0, 0, 0, 14, 0, 0, 7, 21
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\repositories\ModelRepository.java", "Java", 0, 0, 0, 43, 0, 0, 12, 55
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\repositories\OfferRepository.java", "Java", 0, 0, 0, 24, 0, 1, 5, 30
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\repositories\PersistentFileContentRepository.java", "Java", 0, 0, 0, 8, 0, 0, 3, 11
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\repositories\TrimRepository.java", "Java", 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\repositories\UserLogRepository.java", "Java", 0, 0, 0, 13, 0, 0, 5, 18
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\repositories\UserRepository.java", "Java", 0, 0, 0, 41, 0, 0, 12, 53
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\repositories\UserRequestRepository.java", "Java", 0, 0, 0, 12, 0, 0, 5, 17
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\repositories\VerificationTokenCodeRepository.java", "Java", 0, 0, 0, 10, 0, 0, 5, 15
